file,class,method,variable,usage
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,twoParamThrowableCheck/1[org.slf4j.event.Level],exception,6
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,twoParamThrowableCheck/1[org.slf4j.event.Level],twoParams,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,twoParamThrowableCheck/1[org.slf4j.event.Level],logger,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,twoParamThrowableCheck/1[org.slf4j.event.Level],message,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,twoParamThrowableCheck/1[org.slf4j.event.Level],param1,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,twoParamThrowableCheck/1[org.slf4j.event.Level],param2,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,"verifyMessage/4[org.slf4j.event.Level,org.slf4j.Marker,java.lang.Object[],java.lang.Throwable]",exception,3
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,"verifyMessage/4[org.slf4j.event.Level,org.slf4j.Marker,java.lang.Object[],java.lang.Throwable]",marker,3
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,"verifyMessage/4[org.slf4j.event.Level,org.slf4j.Marker,java.lang.Object[],java.lang.Throwable]",message,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,"verifyMessage/4[org.slf4j.event.Level,org.slf4j.Marker,java.lang.Object[],java.lang.Throwable]",queue,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageTwoParameters/1[org.slf4j.event.Level],twoParams,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageTwoParameters/1[org.slf4j.event.Level],marker,6
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageTwoParameters/1[org.slf4j.event.Level],logger,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageTwoParameters/1[org.slf4j.event.Level],message,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageTwoParameters/1[org.slf4j.event.Level],param1,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageTwoParameters/1[org.slf4j.event.Level],param2,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,singleMessageCheck/1[org.slf4j.event.Level],logger,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,singleMessageCheck/1[org.slf4j.event.Level],message,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,messageTwoParametersCheck/1[org.slf4j.event.Level],twoParams,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,messageTwoParametersCheck/1[org.slf4j.event.Level],logger,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,messageTwoParametersCheck/1[org.slf4j.event.Level],message,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,messageTwoParametersCheck/1[org.slf4j.event.Level],param1,5
